Mode,Serat Optik - Hari 1,Serat Optik - Hari 2,Serat Optik - Hari 3,Nirkabel - Hari 1,Nirkabel - Hari 2,Nirkabel - Hari 3
Max,151,178,147,318,417,342
Mean,337,378,343,447,526,457
