Mode,Serat Optik - Hari 1,Serat Optik - Hari 2,Serat Optik - Hari 3,Nirkabel - Hari 1,Nirkabel - Hari 2,Nirkabel - Hari 3
Max,151,178,147,318,417,342
Mean,33.7,37.8,34.3,44.7,52.6,45.7
